Timestamp,Please write your name here.／お名前,Please write your Twitter ID here.／Twitter ID,Write your message here (200 chars. max)／メッセージ,"If you have a drawing you want to share, please upload it here!／送りたい絵がありましたら、アップロードしてください！","If you have a drawing you like to send, please upload it here!／絵があれば、アップロードして下さい"
1/2/2022 15:40:43,Kevin Shi,KevinShi3,I hope you have a great birthday! Looking forward to your streams this year as well!,,
1/4/2022 10:23:28,Panpeko,,"Happy Birthday Nana!! Congratulations on all that you have achieved since your last birthday, and we can't wait to see more of your content. Thank you for all your hard work, please keep doing what you love no matter how difficult times get! Again, Happy Birthday and love from Texas!",,
1/4/2022 10:25:35,UnsavouryHanji,@unsavoured,"Happy Birthday Nana san, watching you has always been really fun. I always try to turn up for your streams. It’s been a pleasure watching you. And I definitely am not a DD, #OnlyNana",,
1/4/2022 10:31:58,Aura,,"Happy birthday nana chan~
thank for always keep doing your best!!!
hope you always having fun and enjoy yourself \o/
take care and stay well always~
wish you the best in the future too!!",,
1/4/2022 14:09:26,ミリナノ,miri689,"なな先生、お誕生日おめでとうございます！！！
先生の絵や歌声、姿をさまざまな場でたくさん見ることができてとても幸せです！
辛い事や大変な事も沢山あったと思います。それでも諦めずに頑張る先生の姿に元気をもらいました！これからも先生のやりたい事が達成できることを応援しています。
新しい1年もなな先生、ナナちゃん共に素晴らしい1年になりますように♪",,
1/4/2022 17:11:23,Mr JD,Mister_Jadey,"Hello! first of all, im not that active in the youtube chat, but i always watch and wait for your stream, even though sometimes i cannot finish the stream, but still its fun interacting with you on youtube especially when ""DD Time"" is there and you strangle us to death, anyways 誕生日おめでとう, hoping that this year it will be great to you that you will face all the hardships and challenges
PS. Nihonggo wa muzukashi desu",,
1/4/2022 18:54:10,Cheliax,Cheliax,"Happy Birthday, Nana!! Thank you for everything! I hope you have a wonderful 2022!",,
1/4/2022 19:16:22,Fiilea,,"Hello Nana, Happy Birthday!!! I really enjoyed your streams and singing!! CAKE CAKE CAKE CAKE CHILLI-",,
1/4/2022 21:18:24,Emil,Limeyomnicron,Happy Birthday Nana! Hoping you have a great day and rest of the year!!,,
1/6/2022 9:11:15,Hitomaru,HitomaruKonpaku,ナナ大好き！！！,,
1/6/2022 15:34:58,Mika,@mikayu_1,お誕生日おめでとうございます！今年もよろしくお願いします！(￣^￣)ゞ,https://cdn.discordapp.com/attachments/911843747258581024/928791226017263647/Nana_bday.png,
1/6/2022 19:39:24,Shadow Tisalode,@tisalode,"Thank you for making my days better with your streams, covers, and art. You've been a great inspiration and have been part of the inspiration that really got me to start drawing. Otanjoubi omedetou.",./img/Nana-Shadow_Tisalode.png,
1/7/2022 4:48:35,死神キラキ,@kiraki_reaper,"ナナママ、お誕生日おめでとうございます！！
ナナママのイラストと声にとても好きです。ナナママの歌はよく聞きますが、とてもいいです。これからも応援しています",,
1/7/2022 16:50:21,Doggie,@nodoggie_,"I can't give you a gift because I haven't found a talent to use to make a gift. You make my heart explode and I love you Nana! I wish you a happy birthday, and I hope your year gets better. <3",,
1/8/2022 6:21:32,五十嵐苺,@sassahuaranga,"Happy birthday Nana-chan!
I wish for you to be healthy and successful in everything you do! You are working so hard to make us happy with amazing videos/streams and art. Thank you for that. I hope that on this special day you get to enjoy yourself and have a lot of fun! Nana-chan daisuki! https://youtu.be/1K0W92xm6tY",https://cdn.discordapp.com/attachments/911843747258581024/929388101456003072/nana_peek_w_room.png,
1/8/2022 20:35:36,HarrisD,,"Nana happy birthday
For the time that passed, for the new goals to accomplish and the new memories to create in this year, let's give the best with a smile !!!!",./img/IMG_20220108_183123_7-HarrisD.jpeg,
1/8/2022 22:19:31,夜桜時秒,@yozakura_jby,"ナナちゃん誕生日おめでとう(つ≧▽≦)つ
私の友達になってくれてほどにありがとうあの時私とても嬉しいです
ナナちゃん優しいくて面白いとてもかわいい 大好き絶対DDしないよ
つどナナちゃんを応援する
ナナちゃんと出会えよかった(๑╹◡╹๑)ﾉ♬",,
1/9/2022 1:36:29,シャケはっちゃん,@SyakeTaisa,"ナナさんお誕生日おめでとうございます！
一時期Катюшаにハマっていたときがありそのときに歌ってみたを見つけて綺麗な歌声や銀髪などに惹かれました！これからも活動応援してます！",,
1/9/2022 2:07:58,ニセちゃん,nisechan1022,"お誕生日おめでとうございます！
いつも色々な形で僕達にパワーを下さってありがとうございます。それらは見えないところでのななさんの努力の成果だと思っています。努力を絶やさず、新しいことに挑戦し続けているななさんを心から尊敬しています。ななさんの創る世界をこれからも楽しみにしています。応援しています。",,
1/9/2022 3:01:29,たなゆー,@tanayu786,"こんかぐら！誕生日おめでとうございます！
この1年間、活動休止と復帰やコラボカフェ、夢だったアニメ主題歌の担当になったりと本当に様々なことがあった1年だったと思います。
色んなことに挑戦して更に夢を叶えた姿を見て、自分も勇気づけられました。そして痛車を作った事で多くの方と知り合い、楽しい日々を過ごせてます。
本当にナナさんのおかげです！感謝しきれません！これからもずっと応援します！カグラナナしか勝たん！",,
1/9/2022 3:33:20,すいうとこ,@suiutoko,"誕生日おめでとうございます!!
ななさんのお歌、絵、優しい所、全てが大好きです！楽しい毎日をありがとう！これからも推していきます！",,
1/9/2022 4:15:10,つのわれ,,"ななかぐらさん、お誕生日おめでとうございます！
2021年は世間的にも、ななかぐらさんご自身にとってもとても大変な年だったかと思います。
けど、であるなら、今年はより良くなっていくのみ！
素敵な出来事に溢れる一年となりますよう心より祈っております。
これまでもこれからも、ななかぐらさんを応援していくファンの一人として見守っていきます…！",,
1/9/2022 6:14:47,Edu Lima,,Hello Nana! Happy Birthday! Hope you have a wonderful day! I'm really happy that Nana is a vtuber! Nana is cute!!!,,
1/9/2022 8:19:42,Siruenyian,@siruenyian,"Hello and Happy Birthday Nana!! On this special day I hope you are doing well and best of luck on your future plans. I just want to say that your songs are amazing and your drawings are beautiful, I like them a lot. Keep up the amazing work!!",./img/nanavtuber-Sirue_N.jpeg,
1/9/2022 9:00:58,Lurking,Lurking11219281,"カグラナナ-san, お誕生日おめでとうございます! 私は日本語を話すことができません、DeepLを使用しています。この一年、本当にお疲れ様でした,今年もよろしくお願いします!",,
1/9/2022 12:24:45,夜神ノラ,,"ななかぐら先生/カグラナナ様！！お誕生日おめでとうございます！！この誤字星色々と大変だと思いますが、ななかぐら先生/カグラナナ様が良き一年となるように願ってます！！
ハッピーパーティーです！！",,
1/10/2022 6:51:12,れいにー,@rainymoon1111,お誕生日おめでとうございます！ナナさまにとって素敵な一年になりますようお祈りしています！,,
1/10/2022 7:26:23,:のらり,,"ナナちゃん誕生日おめでとうございます！
この一年が素敵な日々になりますように♪",,
1/10/2022 15:50:47,Sincronic,@Sincronic12,"Happy Birthday Nana sensei!

I wish you lots and lots of happiness in this year. May all your dreams come true! <3
I tried to animate something for you, but it's my first time. I hope you like it! ",./img/Nanahug_-_Sincronic12.gif,
1/10/2022 15:52:26,ame。,amedayooooo,"カグラナナちゃん、
お誕生日おめでとうです！
素敵な年になりますように🙏

「鼓動」のボカロカバー作りましたので、ぜひ聴いてみて！",,
1/10/2022 16:57:49,Yue Yuishia,,Happy birthday Nana!!! On this special day I wish you lots of happiness and joy and that you can make tons of lovely memories throughout this year and for years to come. I love you Nana!! ღゝ◡╹)ノ♡ ,,
1/10/2022 18:42:31,Cosy,@2BCosy,"Hi Nana! I'm still a pretty new fan, but I wanted to take the chance and say Happy Birthday!!! Nana always makes my days happier and I hope Nana has a great day and a AMAZING 2022!!! Nana daisuki!!!",,
1/11/2022 0:16:10,Shuvi,@Shuvi_Schwarze,"Happy birthday Nana,
This is my first time sharing my drawings to others so I wanted to have you as an inspiration, both as someone who I admire to and adore.
Wish you well and good luck this year too!",./img/Nana-f-Shuvi_Schwarze.png,
